x-coordinate_in_pixel, y-coordinate_in_pixel, Chan1_FluoValue, Chan2_FluoValue, Chan3_FluoValue, index
1119, 326, 17800, 7616, 3495, 605
632, 518, 15607, 7368, 3472, 606
1138, 326, 17659, 7526, 3392, 607
1311, 421, 17468, 7337, 3567, 608
650, 405, 15627, 7259, 3412, 609
2151, 337, 16369, 6849, 3343, 610
1845, 401, 17284, 7097, 3538, 611
1014, 433, 17404, 7281, 3516, 612
1828, 338, 17184, 7071, 3416, 613
2212, 396, 16334, 6951, 3369, 614
598, 522, 16020, 6804, 3253, 615
2083, 327, 16764, 6898, 3308, 616
1080, 337, 17360, 7249, 3531, 617
1405, 390, 17100, 7198, 3531, 618
2155, 326, 16476, 6846, 3262, 619
1627, 751, 15824, 6360, 3169, 620
1336, 550, 16320, 7004, 3378, 621
2168, 326, 16408, 6788, 3340, 622
898, 370, 17662, 7557, 3746, 623
2195, 327, 16446, 6833, 3478, 624
934, 337, 15991, 7103, 3565, 625
2181, 390, 16623, 6898, 3395, 626
1628, 524, 17712, 7258, 3607, 627
933, 327, 16035, 7132, 3267, 628
898, 359, 17874, 7314, 3567, 629
1023, 328, 17472, 7610, 3516, 630
575, 542, 15604, 7069, 3405, 631
1273, 355, 17497, 7167, 3431, 632
2144, 328, 16791, 6861, 3332, 633
1940, 424, 17556, 7142, 3478, 634
733, 395, 15509, 7158, 3450, 635
1587, 521, 17832, 7276, 3602, 636
2215, 327, 16449, 6992, 3423, 637
1342, 1246, 14699, 6392, 3097, 638
2234, 327, 16269, 7041, 3383, 639
1899, 421, 17820, 7133, 3421, 640
878, 360, 17918, 7289, 3630, 641
1386, 512, 17649, 7406, 3582, 642
1892, 336, 17305, 7048, 3405, 643
860, 328, 17151, 7225, 3426, 644
1664, 401, 16926, 6954, 3415, 645
1119, 338, 17918, 7686, 3605, 646
2025, 743, 17300, 7327, 3577, 647
2202, 401, 16421, 6902, 3341, 648
1225, 329, 17565, 7529, 3521, 649
836, 424, 18684, 7638, 3732, 650
